Artist,Year,Popularity
AZTX,2019,30.0
AaRON,2008,48.0
Aaliyah,1994,36.083333333333336
Aaliyah,1996,0.0
Aaliyah,1999,59.0
Aaliyah,2001,0.0
Aaliyah,2002,53.0
Aaliyah,2003,0.0
Aaliyah,2007,3.0
Aaliyah,2014,41.0
Aanysa,2016,47.0
Aanysa,2017,19.0
Aaron Cartier,2016,35.0
Aaron Hall,1991,31.0
Aaron Hall,1992,24.0
Aaron Hall,1993,37.333333333333336
Aaron Hall,1998,34.0
Aaron Hall,2007,17.0
Aaron Hall,2014,4.0
Aaron Neville,2000,52.0
Aaron Smith,2013,51.0
Aaron Smith,2014,84.0
Aaron Taylor,2018,49.5
Aaryan Shah,2020,44.0
Aaryn Doyle,2008,31.0
Ab-Soul,2014,36.0
Abby K,2019,27.0
Abdi,2016,21.0
Abdi,2017,41.0
Abdi,2018,15.0
Abel Ganz,2008,4.0
Abel Pintos,2019,57.0
Abel Ramos,2010,0.0
Able Faces,2020,7.0
Above & Beyond,2012,27.0
Above & Beyond,2019,53.333333333333336
Above The Law,1990,31.0
Above The Law,2013,45.0
Abraham Mateo,2017,64.0
Abraham Mateo,2019,78.0
Abram Mahoney,2019,32.5
Abstract Orchestra,2018,45.0
Abstract Rude,2017,1.0
Aby,2015,11.0
Academics,2009,31.0
Accept,2019,48.0
Ace,1974,56.0
Ace Hood,2019,66.0
Ace of Base,1993,68.0
Ace of Base,1994,16.0
Ace of Base,1999,4.0
Ace of Base,2008,55.0
Achille Lauro,2019,67.0
AchtVier,2013,0.0
AchtVier,2015,27.0
AchtVier,2017,23.5
Achtabahn,2016,46.0
Acidic Base,2019,39.0
Action Bronson,2013,45.0
Aczino,2013,0.0
Adam Ant,1982,51.0
Adam Beyer,2019,50.0
Adam Calhoun,2018,11.0
Adam De Great,2019,27.0
Adam Hicks,2011,60.0
Adam Jensen,2017,55.0
Adam Jensen,2019,47.0
Adam K,2019,44.0
Adam Lambert,2015,65.0
Adam Marano,2001,33.0
Adam Neely,2019,38.0
Adamovich,2020,43.0
Adaptiv,2019,42.0
Adara,2016,14.0
Addal,2019,57.0
Adeena,2019,43.0
Adele,2008,28.75
Adele,2011,73.125
Adele,2014,61.0
Adele,2015,72.0
Adele,2016,65.5
Adelitas Way,2009,60.0
Adelitas Way,2019,46.0
Adesha,2018,15.0
Adexe & Nau,2017,51.0
Adia Victoria,2019,24.0
Adil C,2019,39.0
Adina Howard,1995,56.0
Adolescent's Orquesta,2010,7.0
Adon,2019,52.0
Adrenalina Latina,2019,17.0
Adrian Emile,2013,13.0
Adrian Hour,2014,4.0
Adrian Hour,2019,7.0
Adrian Lux,2013,30.0
Adriana Evans,2017,38.0
Adrianne Archie,2006,7.5
Adrianne Archie,2009,3.0
Adriatique,2018,46.0
